City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,Santa Helena,-2.2311,-45.3,75.97,97,87,3.53,BR,2022-05-13 20:39:12
203,Henties Bay,-22.116,14.2845,57.15,83,0,7.52,NA,2022-05-13 20:39:12
204,Sitka,57.0531,-135.33,48.09,71,20,8.05,US,2022-05-13 20:39:12
205,Dharchula,29.85,80.5333,68.02,58,17,5.41,IN,2022-05-13 20:39:13
206,Faya,18.3851,42.4509,72.12,20,3,10.71,SA,2022-05-13 20:38:32
207,Chokurdakh,70.6333,147.9167,15.46,90,100,5.88,RU,2022-05-13 20:34:26
208,Aksu,41.1231,80.2644,62.51,51,100,4.94,CN,2022-05-13 20:39:13
209,Krasnogvardeyets,52.6804,52.3635,46.26,93,67,3.74,RU,2022-05-13 20:39:14
210,Zhenlai,45.8495,123.2973,43.9,50,79,13.27,CN,2022-05-13 20:39:14
211,Bougouni,11.417,-7.479,92.89,28,99,3.18,ML,2022-05-13 20:39:15
212,Sovetskiy,61.3614,63.5842,53.85,55,100,10.96,RU,2022-05-13 20:39:15
213,Tautira,-17.7333,-149.15,80.87,71,56,18.59,PF,2022-05-13 20:39:16
214,Ostrovnoy,68.0531,39.5131,39.51,92,100,6.22,RU,2022-05-13 20:39:16
215,Norman Wells,65.282,-126.8329,60.84,25,75,4.61,CA,2022-05-13 20:39:17
216,Khrebtovaya,56.7032,104.2494,42.46,54,90,2.8,RU,2022-05-13 20:39:17
217,Rapu-Rapu,13.1866,124.1256,79.18,86,100,13.47,PH,2022-05-13 20:39:18
218,Torbay,47.6666,-52.7314,49.75,74,75,12.66,CA,2022-05-13 20:39:18
219,Araouane,18.9048,-3.5265,89.26,10,25,13.29,ML,2022-05-13 20:39:15
220,Gambela,8.25,34.5833,79.59,63,57,4.14,ET,2022-05-13 20:39:19
221,Krasnik,50.9236,22.2271,55.27,96,100,7.16,PL,2022-05-13 20:39:19
222,Evensk,61.95,159.2333,34.56,91,95,2.17,RU,2022-05-13 20:39:19
223,Hargeysa,9.56,44.065,75.99,26,23,4.97,SO,2022-05-13 20:39:20
224,Takoradi,4.8845,-1.7554,81.73,84,59,10.4,GH,2022-05-13 20:35:51
225,Marsh Harbour,26.5412,-77.0636,77.68,74,79,11.39,BS,2022-05-13 20:35:40
226,San Jose,37.3394,-121.895,80.69,43,20,14.97,US,2022-05-13 20:34:47
